,Title,Vote_Average
444,Tangled,7.6
445,Iron Man 3,6.9
446,The Last Airbender,4.7
447,Catch the Bullet,5.8
448,Jumanji: The Next Level,7.0
449,Fifty Shades Darker,6.5
450,The Loud House Movie,7.8
451,The Secret to Be Told: Relationship With My Aunt,7.3
452,This Is Not a Comedy,6.1
453,Fear Street: 1994,6.8
454,Justice League,6.1
455,Incredibles 2,7.5
456,Ready Player One,7.6
457,Fantastic Beasts: The Secrets of Dumbledore,0.0
458,Snoopy Presents: For Auld Lang Syne,7.4
459,Scary Movie,6.3
460,No One Gets Out Alive,6.0
461,Interstellar,8.4
462,The Lego Batman Movie,7.2
463,Pokémon Detective Pikachu,7.0
464,Kate,6.7
465,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1
466,The Parent Trap,7.1
467,Beauty and the Beast,7.7
468,The Pilgrim's Progress,7.9
469,Thor: The Dark World,6.6
470,Dragon Ball GT: A Hero's Legacy,6.7
471,The Simpsons Movie,7.0
472,John Wick: Chapter 3 - Parabellum,7.4
473,Logan,7.8
474,Transformers: Age of Extinction,5.9
475,Inside Out,7.9
476,Bad Boys for Life,7.2
477,Voyagers,6.2
478,Terminator Genisys,5.9
479,The Lord of the Rings: The Two Towers,8.4
480,Parasite,8.5
481,The Many Saints of Newark,6.7
482,Central Intelligence,6.4
483,Up,7.9
484,Law Abiding Citizen,7.3
485,The Expendables,6.2
486,Fear Street: 1978,7.3
487,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),7.0
488,David and the Elves,6.3
489,Predators,6.2
490,Body Brokers,6.5
491,Skylines,5.6
492,Fresh,7.0
493,Porn to Be Free,5.5
494,Solitary,5.7
495,Spiral: From the Book of Saw,6.2
496,Kingsman: The Golden Circle,7.0
497,22 vs. Earth,7.1
498,Furious 7,7.3
499,Guardians of the Galaxy Vol. 2,7.6
500,Toy Story 3,7.8
501,Caged,6.2
502,Honest Thief,6.5
503,Battle: Los Angeles,5.7
504,Ponyo,7.7
505,Spirited Away,8.5
506,Beauty and the Beast,7.0
507,Night in Paradise,7.0
508,Dragon Ball Z: Cooler's Revenge,6.9
509,No Manches Frida 2,8.1
510,Please Enlighten Me,2.0
