invoice_number,invoice_time,store_id,product_id,category_id,num_item,price
10381,7/22/15 8:39,G619,7070969,70401,1,6
10391,7/22/15 9:09,G619,30000766,70101,1,1.5
10422,7/22/15 9:09,G619,30000766,70101,1,1.5
10110,7/22/15 9:10,G619,7071218,70101,1,3
10123,7/22/15 9:11,G619,7313684,70101,1,2.5
10137,7/22/15 9:16,G816,7070884,70203,1,2
10148,7/22/15 9:18,G816,7090363,70401,1,6
10161,7/22/15 10:38,G816,7071218,70101,1,3
10172,7/22/15 10:38,G816,15000231,70301,1,2
10181,7/22/15 10:39,G816,15000231,70301,1,2
10192,7/22/15 10:43,G816,7071218,70101,1,3
10204,7/22/15 10:43,G816,7070884,70203,1,2
10212,7/22/15 10:43,G816,7070969,70401,1,6
10226,7/22/15 12:17,G816,7070884,70203,2,2
10241,7/22/15 12:17,G816,7071096,70201,1,5
10253,7/22/15 12:17,G816,7090363,70401,2,6
10266,7/22/15 12:26,G628,7308017,210101,1,3.5
10278,7/22/15 12:39,G816,7070884,70203,1,2
10288,7/22/15 12:39,G816,7070884,70203,1,2
10301,7/22/15 12:39,G816,7071096,70201,1,5
10311,7/22/15 12:39,G816,7090363,70401,1,6
10321,7/22/15 12:39,G816,7070884,70203,2,2
10331,7/22/15 12:39,G816,7070891,70401,2,6
10343,7/22/15 12:39,G816,7071096,70201,1,5
10367,7/22/15 12:39,G816,7071331,70301,1,4
10378,7/22/15 12:39,G816,7071331,70301,1,4
10407,7/22/15 12:39,G816,7314612,70101,2,1.5
10419,7/22/15 12:41,G628,7308765,210301,4,2.5
10106,7/22/15 13:04,G619,7308765,210301,1,2.5
10119,7/22/15 13:57,G816,7071164,70201,1,5
10131,7/22/15 13:57,G816,7090363,70401,1,6
10143,7/22/15 14:18,G300,7308017,210101,1,3
10155,7/22/15 14:29,G619,15000231,70301,1,2
10167,7/22/15 15:51,G816,7070884,70203,3,2
10178,7/22/15 15:51,G816,7071218,70101,1,3
10186,7/22/15 16:21,G816,7000300,210101,1,2
10198,7/22/15 16:38,G816,15000231,70301,1,2
10210,7/22/15 16:38,G816,15000231,70301,1,2
10222,7/22/15 17:10,G619,7000294,210101,3,1.5
10250,7/22/15 17:10,G619,7070884,70203,1,2
10262,7/22/15 17:39,G619,7070891,70401,1,6
10274,7/22/15 17:39,G619,15000231,70301,2,1.25
10284,7/22/15 17:44,G816,15000231,70301,1,2
10296,7/22/15 18:04,G816,7000140,210301,1,1.5
10307,7/22/15 18:05,G816,7070891,70401,2,6
10316,7/22/15 18:07,G619,7070884,70203,1,2
10327,7/22/15 18:10,G816,7070884,70203,1,2
10338,7/22/15 18:10,G816,7090363,70401,1,6
10351,7/22/15 18:11,G816,15000231,70301,2,2
10373,7/22/15 18:19,G619,7070891,70401,1,6
10386,7/22/15 18:19,G619,15000231,70301,1,2
10398,7/22/15 18:23,G619,7070891,70401,1,6
10400,7/22/15 18:23,G619,7090097,70301,1,3
10416,7/22/15 18:23,G619,7313684,70101,1,2.5
10100,7/22/15 18:32,G816,7070884,70203,1,2
10110,7/22/15 18:32,G816,7090363,70401,1,6
10124,7/22/15 18:33,G816,7308765,210301,1,2.5
10149,7/22/15 18:54,G619,7000300,210101,1,2
10162,7/22/15 18:54,G619,7070884,70203,1,2
10173,7/22/15 18:54,G619,7071096,70201,1,5
10182,7/22/15 18:54,G619,7071102,70201,1,5.5
10193,7/22/15 19:02,G619,7000300,210101,1,2
10204,7/22/15 19:02,G619,7000300,210101,1,2
10214,7/22/15 19:06,G816,7070891,70401,1,6
10227,7/22/15 19:06,G816,7071096,70201,1,5
10241,7/22/15 19:11,G619,7000300,210101,1,2
10280,7/22/15 19:28,G619,7000300,210101,1,2
10288,7/22/15 19:29,G628,7308017,210101,2,3.5
10302,7/22/15 20:05,G619,7070884,70203,2,2
10312,7/22/15 20:05,G619,7070891,70401,1,6
10331,7/22/15 20:05,G619,7071096,70201,1,5
10344,7/22/15 20:05,G619,30000766,70101,1,1.5
10367,7/22/15 20:40,G628,20098391,210101,1,2.5
10379,7/22/15 20:42,G628,7000300,210101,2,2
10407,7/22/15 21:09,G619,7308017,210101,1,3.5
10420,7/22/15 23:19,G619,7070969,70401,2,6
10108,7/23/15 8:32,G816,30000742,70101,1,1.5
10122,7/23/15 8:32,G816,30000742,70101,1,1.5
10135,7/23/15 8:32,G816,30000742,70101,1,1.5
10147,7/23/15 8:32,G816,30000742,70101,1,1.5
10160,7/23/15 8:34,G816,30000742,70101,1,1.5
10170,7/23/15 8:34,G816,30000742,70101,1,1.5
10181,7/23/15 8:35,G628,7000126,210301,1,2
10192,7/23/15 8:50,G816,7071096,70201,1,5
10203,7/23/15 8:52,G816,7313684,70101,2,2.5
10212,7/23/15 8:53,G619,20098391,210101,1,2
10225,7/23/15 8:53,G816,7314599,70101,1,1.5
10239,7/23/15 8:53,G816,7314612,70101,1,1.5
10253,7/23/15 8:59,G619,30000742,70101,1,1.5
10266,7/23/15 9:00,G619,30000742,70101,1,1.5
10278,7/23/15 9:00,G619,30000759,70101,1,1.5
10287,7/23/15 9:01,G619,15000231,70301,2,1.25
10300,7/23/15 9:24,G619,15000231,70301,2,1.25
10310,7/23/15 9:24,G619,30000759,70101,1,1.5
10321,7/23/15 9:24,G619,30000759,70101,1,1.5
10329,7/23/15 9:24,G619,15000231,70301,2,1.25
10342,7/23/15 9:31,G816,7071133,70301,2,2
10363,7/23/15 9:37,G619,7071218,70101,1,3
10377,7/23/15 9:51,G619,15000231,70301,2,1.25
10389,7/23/15 10:35,G816,7314612,70101,1,1.5
10405,7/23/15 12:10,G816,7070884,70203,2,2
10419,7/23/15 12:10,G816,7070969,70401,1,6
10109,7/23/15 12:10,G816,7070884,70203,1,2
10122,7/23/15 12:10,G816,7071096,70201,1,5
10136,7/23/15 12:10,G816,7090363,70401,1,6
10148,7/23/15 12:11,G816,7070884,70203,1,2
